ID;Q1;Q2;Q3;Q4;Q5;Niveau de Stress;Recommandations
1;2;3;4;5;1;Faible;Yoga, Méditation
2;1;2;2;1;2;Moyen;Marche, Respiration
3;4;4;3;3;4;élevé;Exercices légers
4;4;3;2;5;1;Moyen;Essayer de pratiquer la médiation
5;3;4;3;2;3;Moyen;Je te propose de prendre une douche froide immédiatement, n'oubliez pas de respirer convenablement
6;5;5;4;4;5;élevé;Prendre un jour de repos, Pratiquer la pleine conscience
7;2;2;3;2;1;Faible;Faire une promenade dans la nature
8;1;1;1;1;1;Faible;Écouter de la musique apaisante
9;3;2;2;3;3;Moyen;Prendre un bain chaud, Lire un livre
10;4;3;4;4;4;élevé;Consulter un professionnel, Faire des exercices de relaxation
11;5;4;3;4;5;élevé;Méditer pendant 10 minutes, Écrire dans un journal
12;3;3;2;2;2;Moyen;Participer à un cours de yoga
13;2;1;3;4;2;Faible;Prendre une tasse de thé, Regarder un film
14;4;4;5;3;4;élevé;Pratiquer des exercices d'étirement, Parler à un ami
15;1;2;1;1;1;Faible;Dormir suffisamment, Se déconnecter des écrans
16;3;3;4;2;3;Moyen;Planifier des vacances, Essayer des techniques de respiration
17;5;5;5;4;5;élevé;Prendre du temps pour soi, S'inscrire à un cours de développement personnel
18;4;4;3;2;2;Moyen;Utiliser des applications de méditation, Se fixer des objectifs réalisables
19;2;2;3;5;1;Faible;Passer du temps avec des amis, Pratiquer une activité créative
20;4;5;4;3;4;élevé;Participer à des activités de groupe
